Date;AMZN;NFLX;PFE;AAPL;NKE
29/07/2016;758.809998;91.250000;29.257750;24.379189;52.746052
01/08/2016;767.739990;94.370003;29.590855;24.809647;52.660511
02/08/2016;760.580017;93.559998;28.861195;24.442360;52.194828
03/08/2016;754.640015;93.099998;28.221437;24.748821;52.033260
04/08/2016;760.770020;93.440002;28.109482;24.901709;52.071278
05/08/2016;765.979980;97.029999;28.341389;25.280399;53.078678
08/08/2016;766.559998;95.110001;27.933542;25.489735;53.202240
09/08/2016;768.309998;93.989998;28.053497;25.593224;53.002647
10/08/2016;768.559998;93.930000;28.093483;25.402708;52.394402
11/08/2016;771.239990;95.889999;28.109482;25.386244;53.915012
12/08/2016;772.559998;96.589996;27.973532;25.445040;53.648903
15/08/2016;768.489990;95.309998;28.077490;25.750818;53.953026
16/08/2016;764.039978;95.120003;27.821583;25.727297;54.057579
17/08/2016;764.630005;96.370003;28.101475;25.689667;54.038563
18/08/2016;764.460022;96.160004;28.141464;25.656736;54.371189
19/08/2016;757.309998;95.870003;27.973532;25.722595;55.977337
22/08/2016;759.479980;95.260002;27.861570;25.522665;55.749249
23/08/2016;762.450012;95.940002;28.061501;25.602634;56.661617
24/08/2016;757.250000;95.180000;27.845575;25.409765;57.231842
25/08/2016;759.219971;97.320000;27.805593;25.301565;56.300472
26/08/2016;769.000000;97.580002;27.845575;25.153379;56.072369
29/08/2016;771.289978;97.300003;28.077490;25.125162;55.720737
30/08/2016;767.580017;97.449997;27.893562;24.932287;55.121994
31/08/2016;769.159973;97.449997;27.829588;24.955809;54.779861
01/09/2016;770.619995;97.379997;27.733622;25.103992;55.790073
02/09/2016;772.440002;97.379997;27.805593;25.339201;55.294495
06/09/2016;788.869995;100.089996;27.805593;25.332144;54.713146
07/09/2016;784.479980;99.150002;27.861570;25.487383;55.008587
08/09/2016;784.059998;99.660004;27.765604;24.819384;53.531395
09/09/2016;760.140015;96.500000;27.269794;24.257231;52.730858
12/09/2016;771.489990;99.050003;27.709627;24.800570;53.378914
13/09/2016;761.010010;96.089996;27.221809;25.390945;52.768982
14/09/2016;761.090027;97.010002;27.141838;26.289452;52.540257
15/09/2016;769.690002;97.339996;27.301785;27.183249;52.864277
16/09/2016;778.520020;99.480003;27.141838;27.030363;52.587898
19/09/2016;775.099976;98.059998;26.909927;26.715181;52.368710
20/09/2016;780.219971;98.250000;27.037882;26.712826;52.292461
21/09/2016;789.739990;94.879997;27.413742;26.708122;52.740391
22/09/2016;804.700012;95.830002;27.309776;26.959799;52.807098
23/09/2016;805.750000;95.940002;27.397743;26.510548;52.559319
26/09/2016;799.159973;94.559998;26.901932;26.550533;51.844551
27/09/2016;816.109985;97.070000;27.053873;26.599924;52.740391
28/09/2016;828.719971;97.480003;27.181828;26.802208;50.748569
29/09/2016;829.049988;96.669998;26.646030;26.385885;49.709770
30/09/2016;837.309998;98.550003;27.085861;26.590519;50.176746
03/10/2016;836.739990;102.629997;26.933916;26.465857;50.195801
04/10/2016;834.030029;102.339996;26.965904;26.578756;49.690701
05/10/2016;844.359985;106.279999;27.109856;26.590519;49.671650
06/10/2016;841.659973;105.070000;26.909927;26.788094;49.585873
07/10/2016;839.429993;104.820000;26.837957;26.828075;49.357147
10/10/2016;841.710022;103.330002;26.877939;27.296154;49.357147
11/10/2016;831.000000;100.589996;26.494085;27.354954;49.385731
12/10/2016;834.090027;99.500000;26.446104;27.599573;49.976608
13/10/2016;829.280029;100.230003;26.198195;27.514896;49.585873
14/10/2016;822.960022;101.470001;26.118227;27.667780;49.195137
17/10/2016;812.950012;99.800003;25.990273;27.648966;48.632851
18/10/2016;817.650024;118.790001;26.142216;27.630150;48.813931
19/10/2016;817.690002;121.870003;26.070242;27.547821;49.366676
20/10/2016;810.320007;123.349998;26.022264;27.533712;49.452450
21/10/2016;818.989990;127.500000;25.734367;27.425516;49.338081
24/10/2016;838.090027;127.330002;25.694380;27.672491;49.433388
25/10/2016;835.179993;126.510002;25.814337;27.813614;48.651909
26/10/2016;822.590027;126.970001;25.910303;27.187952;49.528694
27/10/2016;818.359985;126.470001;25.974277;26.926868;49.452450
28/10/2016;776.320007;126.570000;25.534445;26.748108;49.576344
31/10/2016;789.820007;124.870003;25.358507;26.705769;47.822777
01/11/2016;785.409973;123.300003;24.846701;26.223593;47.289085
02/11/2016;765.559998;122.339996;24.494831;26.247110;47.384392
03/11/2016;767.030029;122.139999;23.903055;25.965776;47.393913
04/11/2016;755.049988;122.029999;23.991016;25.731720;47.613117
07/11/2016;784.929993;124.580002;24.294903;26.102900;48.518490
08/11/2016;787.750000;124.339996;24.230295;26.256563;48.680508
09/11/2016;771.880005;122.190002;25.942570;26.214012;48.718624
10/11/2016;742.380005;115.419998;27.049084;25.483482;48.022915
11/11/2016;739.010010;114.779999;26.322174;25.634789;48.385067
14/11/2016;719.070007;113.379997;26.152563;24.991735;47.851368
15/11/2016;743.239990;113.589996;26.031412;25.322718;47.775124
16/11/2016;746.489990;115.190002;25.813337;26.003603;48.299297
17/11/2016;756.400024;115.029999;25.627575;25.994146;49.166550
18/11/2016;760.159973;115.209999;25.425652;26.020147;48.699570
21/11/2016;780.000000;117.959999;25.498343;26.414972;48.871109
22/11/2016;785.330017;118.040001;25.304499;26.431519;49.280899
23/11/2016;780.119995;117.690002;25.377195;26.296761;48.928288
25/11/2016;780.369995;117.410004;25.595266;26.429152;49.099834
28/11/2016;766.770020;116.930000;25.474117;26.377140;48.613792
29/11/2016;762.520020;117.510002;25.781033;26.351133;48.251644
30/11/2016;750.570007;117.000000;25.958719;26.128902;47.717949
01/12/2016;743.650024;117.220001;25.409500;25.885395;48.444851
02/12/2016;740.340027;120.809998;25.546804;25.982323;48.263126
05/12/2016;759.359985;119.160004;25.514500;25.795553;49.592617
06/12/2016;764.719971;124.570000;25.490269;25.994146;48.368347
07/12/2016;770.419983;125.389999;25.191427;26.249474;49.831726
08/12/2016;767.330017;123.239998;24.989506;26.507175;49.305676
09/12/2016;768.659973;122.879997;25.603342;26.939817;49.468281
12/12/2016;760.119995;122.830002;26.168718;26.786144;49.296116
13/12/2016;774.340027;123.779999;26.516020;27.232977;50.023018
14/12/2016;768.820007;123.440002;26.507940;27.232977;49.535233
15/12/2016;761.000000;125.000000;26.451399;27.381918;49.056992
16/12/2016;757.770020;124.220001;26.524096;27.417383;48.703110
19/12/2016;766.000000;125.449997;26.516020;27.575779;48.636154
20/12/2016;771.219971;125.120003;26.532171;27.649071;49.535233
21/12/2016;770.599976;126.500000;26.168718;27.675074;50.023018
22/12/2016;766.340027;125.580002;26.120258;27.493036;49.869984
23/12/2016;760.590027;125.589996;26.233330;27.547411;49.650013
27/12/2016;771.400024;128.350006;26.273714;27.722363;49.056992
28/12/2016;772.130005;125.889999;26.128332;27.604153;48.798756
29/12/2016;765.150024;125.330002;26.241405;27.597061;48.837013
30/12/2016;749.869995;123.800003;26.233330;27.381918;48.617027
03/01/2017;753.669983;127.489998;26.653324;27.459938;49.716949
04/01/2017;757.179993;129.410004;26.887548;27.429203;50.759506
05/01/2017;780.450012;131.809998;27.146002;27.568691;50.749939
06/01/2017;795.989990;131.070007;27.041008;27.876030;51.562931
09/01/2017;796.919983;130.949997;27.032928;28.131361;51.056004
10/01/2017;795.900024;129.889999;27.008699;28.159733;50.797768
11/01/2017;799.020020;130.500000;26.516020;28.311039;50.396038
12/01/2017;813.640015;129.179993;26.330248;28.192831;50.118668
13/01/2017;817.140015;133.699997;26.265636;28.143188;50.616032
17/01/2017;809.719971;132.889999;25.894106;28.370150;51.314251
18/01/2017;807.479980;133.259995;25.869871;28.367781;50.950787
19/01/2017;809.039978;138.410004;25.603342;28.318136;50.625599
20/01/2017;808.330017;138.600006;25.659882;28.370150;50.883850
23/01/2017;817.880005;137.389999;25.409500;28.389057;50.922100
